Home,Week,Day,Breakfast,Breakfast Amount,Snack AM,Snack AM Amount,Lunch,Lunch Amount,Snack PM,Snack PM Amount,Dinner,Dinner Amount,Snack HS,Snack HS Amount,Total,Total Amount,Diet
Corporate Menu-Cost,1,Monday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.40,,0.00,Choice 1,1.01,Choice 1,1.49,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,1,Tuesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.44,,0.00,Choice 1,0.54,Choice 1,1.06,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,1,Wednesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.67,,0.00,Choice 1,0.60,Choice 1,1.35,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,1,Thursday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.39,,0.00,Choice 1,1.31,Choice 1,1.78,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,1,Friday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.16,,0.00,Choice 1,0.77,Choice 1,1.01,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,1,Saturday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.64,,0.00,Choice 1,0.81,Choice 1,1.53,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,1,Sunday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.19,,0.00,Choice 1,0.94,Choice 1,1.21,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,2,Monday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.22,,0.00,Choice 1,1.11,Choice 1,1.41,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,2,Tuesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.60,,0.00,Choice 1,0.81,Choice 1,1.49,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,2,Wednesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.46,,0.00,Choice 1,0.82,Choice 1,1.36,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,2,Thursday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.38,,0.00,Choice 1,0.92,Choice 1,1.38,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,2,Friday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.38,,0.00,Choice 1,0.90,Choice 1,1.36,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,2,Saturday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.90,,0.00,Choice 1,1.02,Choice 1,2.00,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,2,Sunday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.11,,0.00,Choice 1,0.89,Choice 1,1.08,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,3,Monday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.65,,0.00,Choice 1,1.12,Choice 1,1.85,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,3,Tuesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.86,,0.00,Choice 1,0.82,Choice 1,1.76,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,3,Wednesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.67,,0.00,Choice 1,0.87,Choice 1,1.62,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,3,Thursday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.62,,0.00,Choice 1,0.91,Choice 1,1.61,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,3,Friday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.34,,0.00,Choice 1,0.89,Choice 1,1.31,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,3,Saturday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.64,,0.00,Choice 1,0.77,Choice 1,1.49,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,3,Sunday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.33,,0.00,Choice 1,1.17,Choice 1,1.58,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,4,Monday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.65,,0.00,Choice 1,0.96,Choice 1,1.69,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,4,Tuesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.86,,0.00,Choice 1,0.90,Choice 1,1.84,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,4,Wednesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.22,,0.00,Choice 1,0.77,Choice 1,1.07,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,4,Thursday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.41,,0.00,Choice 1,1.11,Choice 1,1.60,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,4,Friday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.16,,0.00,Choice 1,0.83,Choice 1,1.07,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,4,Saturday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.97,,0.00,Choice 1,0.97,Choice 1,2.02,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,4,Sunday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.40,,0.00,Choice 1,0.60,Choice 1,1.08,Regular | Texture: Regular
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.56,,0.00,Choice 2,0.56,Choice 2,1.42,Regular | Texture: Regular
Corporate Menu-Cost,1,Monday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.40,,0.00,Choice 1,1.01,Choice 1,1.49,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,1,Tuesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.44,,0.00,Choice 1,0.59,Choice 1,1.11,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,1,Wednesday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.67,,0.00,Choice 1,0.59,Choice 1,1.34,Regular | Texture: Minced
Corporate Menu-Cost,,,,0.00,Choice 2,0.30,,0.00,Choice 2,0.74,,0.00,Choice 2,0.74,Choice 2,1.78,Regular | Texture: Minced
Corporate Menu-Cost,1,Thursday,,0.00,Choice 1,0.08,,0.00,Choice 1,0.65,,0.00,Choice 1,1.31,Choice 1,2.04,Regular | Texture: Minced
