Component,Home,Distributor,Operations Category,Major Group,Manufacturer,Distribution Item,Brand,Brand Name,Pack Size,Unit,Total Quantity,Total Amount,Unit Price,SCC
1571,Linhaven Home for the Aged,SYSCO SOUTHWESTERN ONTARIO,Food,BABY FOOD,NESTLE CANADA INC. ,4908994,NESTLE,NESTLE BABY CEREAL RICE (CS),6 x 227g,CS,2,74.2,37.1,'00065000436617
9098,Summer Street Shelter,GFS ONTARIO,Food,BACK BACON,CARDINAL MEAT SPECIALISTS LTD.,1289683,GFS,BACON BACK PEAMEAL ECONO SLCD,1X5KG,CS,1,56.34,56.34,'00620868174264
9098,Summer Street Shelter,GFS ONTARIO,Food,BACK BACON,CARDINAL MEAT SPECIALISTS LTD.,1289682,GFS,BACON BACK PEAMEAL REG SLCD FZ,1X5KG,CS,2,112.68,56.34,'00620868174240
1571,Linhaven Home for the Aged,GFS ONTARIO,Food,BACK BACON,CARDINAL MEAT SPECIALISTS LTD.,1289682,GFS,BACON BACK PEAMEAL REG SLCD FZ,1X5KG,CS,3,169.02,56.34,'00620868174240
1880,Douglas H. Rapelje Lodge,GFS ONTARIO,Food,BACK BACON,CARDINAL MEAT SPECIALISTS LTD.,1289686,GFS,BACON BACK PEAMEAL THICK SLCD,1X5KG,CS,2,112.68,56.34,'00620868174233
9097,Riordon Street Shelter,GFS ONTARIO,Food,BACK BACON,CARDINAL MEAT SPECIALISTS LTD.,1289686,GFS,BACON BACK PEAMEAL THICK SLCD,1X5KG,CS,3,169.02,56.34,'00620868174233
9097,Riordon Street Shelter,GFS ONTARIO,Food,BACK BACON,ERIE MEAT PRODUCTS LTD.,1231116,EUROPEAN M,BACON BACK SLCD SMKD FZN,10X450G,CS,1,54.23,54.23,'10623392104797
9098,Summer Street Shelter,GFS ONTARIO,Food,BACK BACON,ERIE MEAT PRODUCTS LTD.,8098886,EURPEAN,BACON CANADIAN PEAMEAL SLI,4.54KG,CS,1,44.62,44.62,'10623392110125
1573,Woodlands of Sunset,GFS ONTARIO,Food,BACK BACON,ERIE MEAT PRODUCTS LTD.,8098886,EURPEAN,BACON CANADIAN PEAMEAL SLI,4.54KG,CS,2,89.24,44.62,'10623392110125
9097,Riordon Street Shelter,GFS ONTARIO,Food,BACK BACON,ERIE MEAT PRODUCTS LTD.,8098886,EURPEAN,BACON CANADIAN PEAMEAL SLI,4.54KG,CS,2,89.24,44.62,'10623392110125
1569,The Meadows of Dorchester,GFS ONTARIO,Food,BACK BACON,ERIE MEAT PRODUCTS LTD.,8098886,EURPEAN,BACON CANADIAN PEAMEAL SLI,4.54KG,CS,2,89.24,44.62,'10623392110125
1880,Douglas H. Rapelje Lodge,GFS ONTARIO,Food,BACK BACON,ERIE MEAT PRODUCTS LTD.,8098886,EURPEAN,BACON CANADIAN PEAMEAL SLI,4.54KG,CS,5,223.1,44.62,'10623392110125
5884,Deer Park Villa,SYSCO SOUTHWESTERN ONTARIO,Food,BACK BACON,CARDINAL MEAT SPECIALISTS (ELITE),5476310,ELITE,BACON PEAMEAL 5MM SLCD DELI LO,1X5KG,CS,1,50.68,50.68,'10063351050176
1570,Gilmore Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BACK BACON,SYSCO FINE MEATS TORONTO,5302706,BUCKHD,BACON PEAMEAL CC SLCD 7MM FZ,5KG,CS,2,152.86,76.43,'00734730677330
1572,Northland Pointe,SYSCO SOUTHWESTERN ONTARIO,Food,BACK BACON,SYSCO FINE MEATS TORONTO,5302706,BUCKHD,BACON PEAMEAL CC SLCD 7MM FZ,5KG,CS,2,153.48,76.74,'00734730677330
1573,Woodlands of Sunset,SYSCO SOUTHWESTERN ONTARIO,Food,BACK BACON,SYSCO FINE MEATS TORONTO,5302706,BUCKHD,BACON PEAMEAL CC SLCD 7MM FZ,5KG,CS,7,536.19,76.59857142857143,'00734730677330
1569,The Meadows of Dorchester,SYSCO SOUTHWESTERN ONTARIO,Food,BACK BACON,SYSCO FINE MEATS TORONTO,5302706,BUCKHD,BACON PEAMEAL CC SLCD 7MM FZ,5KG,CS,8,613.08,76.635,'00734730677330
5884,Deer Park Villa,SYSCO SOUTHWESTERN ONTARIO,Food,BACK BACON,SYSCO FINE MEATS TORONTO,5303999,SYSFNMT,BACON PEAMEAL CC SLCD 9MM FZ,5KG,CS,2,152.04,76.02,'00734730677743
5884,Deer Park Villa,SYSCO SOUTHWESTERN ONTARIO,Food,BACK BACON,CARDINAL MEAT SPECIALISTS (ELITE),5476306,ELITEMT,BACON PEAMEAL SLI 7MM DELI,5 KG,CS,1,49.66,49.66,'10063351050183
1573,Woodlands of Sunset,SYSCO SOUTHWESTERN ONTARIO,Food,BACK BACON,CARDINAL MEAT SPECIALISTS (ELITE),5476306,ELITEMT,BACON PEAMEAL SLI 7MM DELI,5 KG,CS,4,198.64,49.66,'10063351050183
1570,Gilmore Lodge,SYSCO SOUTHWESTERN ONTARIO,Food,BACK BACON,CARDINAL MEAT SPECIALISTS (ELITE),5476306,ELITEMT,BACON PEAMEAL SLI 7MM DELI,5 KG,CS,9,446.94,49.66,'10063351050183
